Saggio,Molecola,Esito
AMMINE TERZIARIE (MAYER),IMIPRAMINA HCl,POSITIVO
AgNO3 & NH4OH (FOSFATI),CLOROCHINA BIFOSFATO,POSITIVO
SOLUBILITA NAOH,FENILEFRINA HCl,POSITIVO
SOLUBILITA HCL,FENILEFRINA HCl,POSITIVO
AgNO3 (ALOGENURI),FENILEFRINA HCl,POSITIVO
IDROSSILAMMINA (ESTERI & AMMIDI),FENILEFRINA HCl,NEGATIVO
AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA),PROMETAZINA HCl,POSITIVO
SOLUBILITA ACQUA,CALCIO GLUCONATO,POSITIVO
PROVA AL COCCIO,CALCIO GLUCONATO,POSITIVO
SOLUBILITA NAOH,CALCIO GLUCONATO,POSITIVO
SOLUBILITA HCL,CALCIO GLUCONATO,POSITIVO
SOLUBILITA ETOH,CALCIO GLUCONATO,POSITIVO
FILO Ni-Cr,CALCIO GLUCONATO,POSITIVO
